sample_id,psnr,ssim,lpips
10140071_30492_9548,33.82673644534932,0.8969588875770569,0.07970921695232391
10140071_30800_75152,32.58502222578646,0.8759813904762268,0.09453682601451874
10140071_3080_38500,35.81277545863422,0.923170268535614,0.08846598863601685
10140071_31108_28336,33.370412500729316,0.8642289042472839,0.1129160076379776
10140071_31108_90860,33.302778154808024,0.8630130887031555,0.10021081566810608
10140071_31416_93324,33.47443999582865,0.8826692700386047,0.05813601240515709
10140071_31724_44660,33.588965194518906,0.9069629311561584,0.07559625804424286
10140071_32648_56056,31.236293719416636,0.8748700022697449,0.08726891875267029
10140071_32648_84392,34.01028569125621,0.8704485893249512,0.10727579891681671
10140071_32956_68992,34.05835557907005,0.9116864204406738,0.08781963586807251
10140071_32956_81004,32.451764698124165,0.890739917755127,0.09716148674488068
10140071_32956_82544,33.61035087872735,0.8502726554870605,0.14593224227428436
10140071_32956_91476,31.526905273678597,0.8615335822105408,0.12260831892490387
10140071_33264_33880,36.1987364561391,0.914288341999054,0.0989452376961708
10140071_33572_85624,34.19309762455894,0.9076757431030273,0.1081244945526123
10140071_33880_85624,35.120115140974086,0.9300219416618347,0.08003890514373779
10140071_3388_32340,30.70481564533827,0.8614233136177063,0.09847405552864075
10140071_3388_64988,37.56457418213142,0.9341605305671692,0.06272337585687637
10140071_34188_88088,34.47572846110811,0.8890013694763184,0.09101982414722443
10140071_34496_29876,35.7668241453696,0.9012052416801453,0.10503008961677551
10140071_34496_48048,33.88755546645185,0.8844029307365417,0.13845987617969513
10140071_34496_68684,32.47262120402778,0.848301112651825,0.16327303647994995
10140071_34804_44044,33.46759794094712,0.8760965466499329,0.12351368367671967
10140071_34804_61292,35.037251588546475,0.8830101490020752,0.10923603177070618
10140071_34804_93940,31.828644981432824,0.7945523262023926,0.1940348744392395
10140071_35112_16940,31.887796509795926,0.85651034116745,0.1195361465215683
10140071_35112_18480,34.73485701808127,0.8931166529655457,0.10408271849155426
10140071_35728_27412,33.636340777782046,0.8889563083648682,0.115749791264534
10140071_35728_93016,33.87895329379908,0.864713728427887,0.14467820525169373
10140071_36036_38192,31.39133175608483,0.8366855978965759,0.13249249756336212
10140071_36344_71148,33.51210871946837,0.8591687083244324,0.14232796430587769
10140071_36344_90552,35.58890371636287,0.9215948581695557,0.07069654017686844
10140071_37268_29260,34.28922746406148,0.872025191783905,0.14396896958351135
10140071_37268_52976,32.49633604940265,0.8891502022743225,0.08703184872865677
10140071_37268_93632,33.10533351651287,0.8701114654541016,0.11026322841644287
10140071_37576_77000,33.11100653867535,0.8982283473014832,0.10768529027700424
10140071_37884_12320,35.83645001464488,0.8995103240013123,0.0990653857588768
10140071_38192_20636,32.0959029005899,0.8888964653015137,0.0930640697479248
10140071_38192_52668,35.33290291992402,0.9147920608520508,0.07708112895488739
10140071_38192_62832,35.07926415439794,0.877264678478241,0.11669585108757019
10140071_38192_77616,32.137923218814876,0.8587461113929749,0.12260432541370392
10140071_39116_29260,34.850509614077644,0.9054928421974182,0.08745819330215454
10140071_39116_76384,32.4692002772127,0.8611752390861511,0.10993364453315735
10140071_39116_83776,29.891650884226753,0.8867595195770264,0.07505194842815399
10140071_39424_89012,35.05698334243745,0.8990795612335205,0.09523139894008636
10140071_39732_73612,34.532392310561406,0.899885356426239,0.09829476475715637
10140071_39732_89320,31.999820663948505,0.8421257138252258,0.12017685174942017
10140071_40040_81004,32.6756870315391,0.8682751059532166,0.12386631965637207
10140071_40040_8316,35.244647743860504,0.8588016033172607,0.16744424402713776
10140071_40656_46816,29.681472289309422,0.8235717415809631,0.166402667760849
10140071_40964_75460,32.83377224215886,0.8985967040061951,0.08729039132595062
10140071_41272_29876,32.6104742570519,0.8765377998352051,0.11683633923530579
10140071_41272_50512,31.852571384963948,0.8812004923820496,0.09584703296422958
10140071_41272_52976,33.554402797420344,0.8876957893371582,0.10016876459121704
10140071_41580_32648,33.80405507527036,0.9046397805213928,0.10584943741559982
10140071_41580_77308,30.24475788045723,0.8716256618499756,0.09353360533714294
10140071_41580_87472,33.394279185579904,0.8492527008056641,0.12862542271614075
10140071_41888_32956,33.623296543261645,0.9285609722137451,0.08514513075351715
10140071_41888_38192,31.801363670459793,0.8800718784332275,0.11299561709165573
10140071_41888_57596,37.71356692417526,0.935620129108429,0.08113187551498413
10140071_41888_78540,34.34626958441969,0.9060730338096619,0.09891393780708313
10140071_42196_65296,33.86497536616425,0.9013569355010986,0.08560154587030411
10140071_42196_90552,35.86226217470326,0.8930981755256653,0.14226669073104858
10140071_42504_24332,34.265802147340544,0.9100134372711182,0.11084508895874023
10140071_42504_68992,30.691757669291672,0.876207172870636,0.09228285402059555
10140071_42504_88704,31.75989011003148,0.8438081741333008,0.1369091272354126
10140071_42812_88088,32.29803550811331,0.8428395390510559,0.14713473618030548
10140071_42812_89320,31.970103811976173,0.8846744894981384,0.10074730217456818
10140071_43120_30184,35.01637394176937,0.8960776329040527,0.15731409192085266
10140071_4312_33264,33.29274888242017,0.9329843521118164,0.0535460002720356
10140071_4312_61908,33.655754617072176,0.8577723503112793,0.11797557771205902
10140071_43428_37884,31.041032613926486,0.8419597148895264,0.11028511077165604
10140071_43428_57596,34.69715613000445,0.91722172498703,0.07499460875988007
10140071_43428_78540,29.946161670369747,0.8879899382591248,0.08148649334907532
10140071_43736_72996,36.195692211474025,0.9292289614677429,0.06548238545656204
10140071_44352_75152,36.182160454089626,0.9023095965385437,0.11300633102655411
10140071_44352_87164,31.583034616918788,0.8624205589294434,0.12244991958141327
10140071_44352_92092,35.29722977566317,0.9143238067626953,0.09095530211925507
10140071_44660_30184,32.25037839517322,0.8232388496398926,0.16843272745609283
10140071_44660_54516,32.12049198585244,0.8483565449714661,0.13024786114692688
10140071_44660_75768,34.98553957913624,0.9103098511695862,0.10359330475330353
10140071_44660_8316,34.90767073560717,0.8717005252838135,0.17014864087104797
10140071_44968_87472,33.02228418302331,0.8912916779518127,0.09826145321130753
10140071_45276_92092,32.97718016373442,0.8799734115600586,0.10711371898651123
10140071_45584_33572,35.03264587561531,0.9131433367729187,0.08174349367618561
10140071_45892_16632,35.19606249481604,0.88787841796875,0.12847940623760223
10140071_46200_28336,31.5994796894029,0.8329142928123474,0.18725940585136414
10140071_46200_28952,31.17488514565798,0.8517916798591614,0.11111761629581451
10140071_46200_69300,34.706143243217575,0.9246859550476074,0.06299909949302673
10140071_46200_88088,33.9160921147372,0.8769838213920593,0.11401708424091339
10140071_4620_36344,36.87441917505427,0.9432962536811829,0.058427922427654266
10140071_46816_79772,33.506540450376086,0.8948678970336914,0.08536490797996521
10140071_47124_36652,36.22699827871664,0.8855200409889221,0.13393071293830872
10140071_47124_40964,31.945519473115063,0.8745186924934387,0.11556842923164368
10140071_47432_81312,34.31700721421062,0.8782369494438171,0.12583273649215698
10140071_47740_23716,28.88637584227842,0.8462043404579163,0.157653346657753
10140071_47740_80388,34.225821513012825,0.9026468396186829,0.11343951523303986
10140071_47740_89936,32.397623705555155,0.8521609902381897,0.12365151196718216
10140071_48664_32648,35.54676987525212,0.9228816032409668,0.05748472362756729
